가입일자,사용자코드,연령대코드,성별,가입 수
2020-07-01,회원-내국인,AGE_001,F,209
2020-07-01,회원-내국인,AGE_001,M,170
2020-07-01,회원-내국인,AGE_002,F,764
2020-07-01,회원-내국인,AGE_002,M,678
2020-07-01,회원-내국인,AGE_003,F,252
2020-07-01,회원-내국인,AGE_003,M,297
2020-07-01,회원-내국인,AGE_004,F,137
2020-07-01,회원-내국인,AGE_004,M,187
2020-07-01,회원-내국인,AGE_005,F,75
2020-07-01,회원-내국인,AGE_005,M,94
2020-07-01,회원-내국인,AGE_006,F,16
2020-07-01,회원-내국인,AGE_006,M,25
2020-07-01,회원-내국인,AGE_007,F,2
2020-07-01,회원-내국인,AGE_007,M,6
2020-07-01,회원-내국인,AGE_008,,1177
2020-07-02,회원-내국인,AGE_001,F,194
2020-07-02,회원-내국인,AGE_001,M,191
2020-07-02,회원-내국인,AGE_002,F,837
2020-07-02,회원-내국인,AGE_002,M,745
2020-07-02,회원-내국인,AGE_003,F,257
2020-07-02,회원-내국인,AGE_003,M,395
2020-07-02,회원-내국인,AGE_004,F,157
2020-07-02,회원-내국인,AGE_004,M,202
2020-07-02,회원-내국인,AGE_005,F,82
2020-07-02,회원-내국인,AGE_005,M,78
2020-07-02,회원-내국인,AGE_006,F,12
2020-07-02,회원-내국인,AGE_006,M,36
2020-07-02,회원-내국인,AGE_007,F,2
2020-07-02,회원-내국인,AGE_007,M,3
2020-07-02,회원-내국인,AGE_008,,1113
2020-07-02,회원-내국인,AGE_008,M,1
2020-07-03,회원-내국인,AGE_001,F,210
2020-07-03,회원-내국인,AGE_001,M,190
2020-07-03,회원-내국인,AGE_002,F,776
2020-07-03,회원-내국인,AGE_002,M,711
2020-07-03,회원-내국인,AGE_003,F,251
2020-07-03,회원-내국인,AGE_003,M,335
2020-07-03,회원-내국인,AGE_004,F,165
2020-07-03,회원-내국인,AGE_004,M,232
2020-07-03,회원-내국인,AGE_005,F,95
2020-07-03,회원-내국인,AGE_005,M,99
2020-07-03,회원-내국인,AGE_006,F,14
2020-07-03,회원-내국인,AGE_006,M,37
2020-07-03,회원-내국인,AGE_007,F,1
2020-07-03,회원-내국인,AGE_007,M,1
2020-07-03,회원-내국인,AGE_008,,1186
2020-07-03,회원-내국인,AGE_008,F,1
2020-07-03,회원-내국인,AGE_008,M,1
2020-07-04,회원-내국인,AGE_001,F,299
2020-07-04,회원-내국인,AGE_001,M,305
2020-07-04,회원-내국인,AGE_002,F,1473
2020-07-04,회원-내국인,AGE_002,M,1239
2020-07-04,회원-내국인,AGE_003,F,553
2020-07-04,회원-내국인,AGE_003,M,664
2020-07-04,회원-내국인,AGE_004,F,344
2020-07-04,회원-내국인,AGE_004,M,423
2020-07-04,회원-내국인,AGE_005,F,164
2020-07-04,회원-내국인,AGE_005,M,140
2020-07-04,회원-내국인,AGE_006,F,26
2020-07-04,회원-내국인,AGE_006,M,37
2020-07-04,회원-내국인,AGE_007,F,4
2020-07-04,회원-내국인,AGE_007,M,11
2020-07-04,회원-내국인,AGE_008,,1113
2020-07-05,회원-내국인,AGE_001,F,350
2020-07-05,회원-내국인,AGE_001,M,308
2020-07-05,회원-내국인,AGE_002,F,1360
2020-07-05,회원-내국인,AGE_002,M,1298
2020-07-05,회원-내국인,AGE_003,F,494
2020-07-05,회원-내국인,AGE_003,M,623
2020-07-05,회원-내국인,AGE_004,F,423
2020-07-05,회원-내국인,AGE_004,M,461
