가입일자,사용자코드,연령대코드,성별,가입 수
2020-12-09,USR_001,AGE_003,M,74
2020-12-09,USR_001,AGE_004,F,43
2020-12-09,USR_001,AGE_004,M,60
2020-12-09,USR_001,AGE_005,F,25
2020-12-09,USR_001,AGE_005,M,31
2020-12-09,USR_001,AGE_006,F,7
2020-12-09,USR_001,AGE_006,M,10
2020-12-09,USR_001,AGE_007,M,3
2020-12-09,USR_001,AGE_008,,6
2020-12-10,USR_001,AGE_001,F,67
2020-12-10,USR_001,AGE_001,M,100
2020-12-10,USR_001,AGE_002,F,121
2020-12-10,USR_001,AGE_002,M,136
2020-12-10,USR_001,AGE_003,F,63
2020-12-10,USR_001,AGE_003,M,105
2020-12-10,USR_001,AGE_004,F,65
2020-12-10,USR_001,AGE_004,M,62
2020-12-10,USR_001,AGE_005,F,28
2020-12-10,USR_001,AGE_005,M,45
2020-12-10,USR_001,AGE_006,F,7
2020-12-10,USR_001,AGE_006,M,23
2020-12-10,USR_001,AGE_007,M,4
2020-12-10,USR_001,AGE_008,,3
2020-12-11,USR_001,AGE_001,F,78
2020-12-11,USR_001,AGE_001,M,108
2020-12-11,USR_001,AGE_002,F,134
2020-12-11,USR_001,AGE_002,M,159
2020-12-11,USR_001,AGE_003,F,64
2020-12-11,USR_001,AGE_003,M,88
2020-12-11,USR_001,AGE_004,F,47
2020-12-11,USR_001,AGE_004,M,72
2020-12-11,USR_001,AGE_005,F,19
2020-12-11,USR_001,AGE_005,M,49
2020-12-11,USR_001,AGE_006,F,9
2020-12-11,USR_001,AGE_006,M,16
2020-12-11,USR_001,AGE_007,M,1
2020-12-12,USR_001,AGE_001,F,88
2020-12-12,USR_001,AGE_001,M,130
2020-12-12,USR_001,AGE_002,F,146
2020-12-12,USR_001,AGE_002,M,215
2020-12-12,USR_001,AGE_003,F,99
2020-12-12,USR_001,AGE_003,M,105
2020-12-12,USR_001,AGE_004,F,67
2020-12-12,USR_001,AGE_004,M,96
2020-12-12,USR_001,AGE_005,F,55
2020-12-12,USR_001,AGE_005,M,44
2020-12-12,USR_001,AGE_006,F,10
2020-12-12,USR_001,AGE_006,M,28
2020-12-12,USR_001,AGE_007,F,1
2020-12-12,USR_001,AGE_007,M,6
2020-12-12,USR_001,AGE_008,,4
2020-12-12,USR_001,AGE_008,M,2
2020-12-13,USR_001,AGE_001,F,34
2020-12-13,USR_001,AGE_001,M,59
2020-12-13,USR_001,AGE_002,F,40
2020-12-13,USR_001,AGE_002,M,63
2020-12-13,USR_001,AGE_003,F,26
2020-12-13,USR_001,AGE_003,M,49
2020-12-13,USR_001,AGE_004,F,28
2020-12-13,USR_001,AGE_004,M,41
2020-12-13,USR_001,AGE_005,F,17
2020-12-13,USR_001,AGE_005,M,36
2020-12-13,USR_001,AGE_006,F,12
2020-12-13,USR_001,AGE_006,M,11
2020-12-13,USR_001,AGE_007,M,2
2020-12-14,USR_001,AGE_001,F,42
2020-12-14,USR_001,AGE_001,M,48
2020-12-14,USR_001,AGE_002,F,48
2020-12-14,USR_001,AGE_002,M,57
2020-12-14,USR_001,AGE_003,F,27
2020-12-14,USR_001,AGE_003,M,39
2020-12-14,USR_001,AGE_004,F,29
2020-12-14,USR_001,AGE_004,M,25
2020-12-14,USR_001,AGE_005,F,12
2020-12-14,USR_001,AGE_005,M,30
2020-12-14,USR_001,AGE_006,F,3
2020-12-14,USR_001,AGE_006,M,6
2020-12-14,USR_001,AGE_007,M,1
2020-12-14,USR_001,AGE_008,,1
2020-12-15,USR_001,AGE_001,F,36
2020-12-15,USR_001,AGE_001,M,52
2020-12-15,USR_001,AGE_002,F,41
2020-12-15,USR_001,AGE_002,M,39
2020-12-15,USR_001,AGE_003,F,26
2020-12-15,USR_001,AGE_003,M,31
2020-12-15,USR_001,AGE_004,F,14
2020-12-15,USR_001,AGE_004,M,26
2020-12-15,USR_001,AGE_005,F,12
2020-12-15,USR_001,AGE_005,M,19
2020-12-15,USR_001,AGE_006,F,3
2020-12-15,USR_001,AGE_006,M,10
2020-12-15,USR_001,AGE_007,F,1
2020-12-15,USR_001,AGE_007,M,3
2020-12-15,USR_001,AGE_008,M,1
2020-12-16,USR_001,AGE_001,F,39
2020-12-16,USR_001,AGE_001,M,44
2020-12-16,USR_001,AGE_002,F,41
2020-12-16,USR_001,AGE_002,M,53
2020-12-16,USR_001,AGE_003,F,25
2020-12-16,USR_001,AGE_003,M,38
2020-12-16,USR_001,AGE_004,F,21
2020-12-16,USR_001,AGE_004,M,24
2020-12-16,USR_001,AGE_005,F,9
2020-12-16,USR_001,AGE_005,M,16
2020-12-16,USR_001,AGE_006,F,4
2020-12-16,USR_001,AGE_006,M,6
2020-12-16,USR_001,AGE_007,M,2
2020-12-16,USR_001,AGE_008,,2
2020-12-16,USR_001,AGE_008,M,1
2020-12-17,USR_001,AGE_001,F,51
2020-12-17,USR_001,AGE_001,M,52
2020-12-17,USR_001,AGE_002,F,53
2020-12-17,USR_001,AGE_002,M,73
2020-12-17,USR_001,AGE_003,F,34
2020-12-17,USR_001,AGE_003,M,39
2020-12-17,USR_001,AGE_004,F,30
2020-12-17,USR_001,AGE_004,M,29
2020-12-17,USR_001,AGE_005,F,13
2020-12-17,USR_001,AGE_005,M,23
2020-12-17,USR_001,AGE_006,F,8
2020-12-17,USR_001,AGE_006,M,9
2020-12-17,USR_001,AGE_007,M,1
2020-12-17,USR_001,AGE_008,,1
2020-12-17,USR_001,AGE_008,M,1
2020-12-18,USR_001,AGE_001,F,41
2020-12-18,USR_001,AGE_001,M,58
2020-12-18,USR_001,AGE_002,F,48
2020-12-18,USR_001,AGE_002,M,58
2020-12-18,USR_001,AGE_003,F,21
2020-12-18,USR_001,AGE_003,M,32
2020-12-18,USR_001,AGE_004,F,11
2020-12-18,USR_001,AGE_004,M,37
2020-12-18,USR_001,AGE_005,F,14
2020-12-18,USR_001,AGE_005,M,15
2020-12-18,USR_001,AGE_006,F,1
2020-12-18,USR_001,AGE_006,M,7
2020-12-18,USR_001,AGE_007,F,1
2020-12-18,USR_001,AGE_007,M,2
2020-12-19,USR_001,AGE_001,F,42
2020-12-19,USR_001,AGE_001,M,69
2020-12-19,USR_001,AGE_002,F,60
2020-12-19,USR_001,AGE_002,M,64
2020-12-19,USR_001,AGE_003,F,42
2020-12-19,USR_001,AGE_003,M,50
2020-12-19,USR_001,AGE_004,F,30
2020-12-19,USR_001,AGE_004,M,50
2020-12-19,USR_001,AGE_005,F,18
2020-12-19,USR_001,AGE_005,M,19
2020-12-19,USR_001,AGE_006,F,8
2020-12-19,USR_001,AGE_006,M,19
2020-12-19,USR_001,AGE_007,F,4
2020-12-19,USR_001,AGE_007,M,1
