가입일자,사용자코드,연령대코드,성별,가입 수
2020-09-01,USR_001,AGE_001,F,179
2020-09-01,USR_001,AGE_001,M,180
2020-09-01,USR_001,AGE_002,F,564
2020-09-01,USR_001,AGE_002,M,610
2020-09-01,USR_001,AGE_003,F,219
2020-09-01,USR_001,AGE_003,M,246
2020-09-01,USR_001,AGE_004,F,147
2020-09-01,USR_001,AGE_004,M,153
2020-09-01,USR_001,AGE_005,F,102
2020-09-01,USR_001,AGE_005,M,91
2020-09-01,USR_001,AGE_006,F,10
2020-09-01,USR_001,AGE_006,M,28
2020-09-01,USR_001,AGE_007,M,6
2020-09-01,USR_001,AGE_008,,887
2020-09-01,USR_001,AGE_008,M,1
2020-09-02,USR_001,AGE_001,F,25
2020-09-02,USR_001,AGE_001,M,30
2020-09-02,USR_001,AGE_002,F,77
2020-09-02,USR_001,AGE_002,M,111
2020-09-02,USR_001,AGE_003,F,45
2020-09-02,USR_001,AGE_003,M,53
2020-09-02,USR_001,AGE_004,F,33
2020-09-02,USR_001,AGE_004,M,43
2020-09-02,USR_001,AGE_005,F,20
2020-09-02,USR_001,AGE_005,M,32
2020-09-02,USR_001,AGE_006,F,5
2020-09-02,USR_001,AGE_006,M,13
2020-09-02,USR_001,AGE_007,M,1
2020-09-02,USR_001,AGE_008,,867
2020-09-02,USR_001,AGE_008,M,1
2020-09-03,USR_001,AGE_001,F,207
2020-09-03,USR_001,AGE_001,M,175
2020-09-03,USR_001,AGE_002,F,554
2020-09-03,USR_001,AGE_002,M,657
2020-09-03,USR_001,AGE_003,F,218
2020-09-03,USR_001,AGE_003,M,207
2020-09-03,USR_001,AGE_004,F,145
2020-09-03,USR_001,AGE_004,M,131
2020-09-03,USR_001,AGE_005,F,97
2020-09-03,USR_001,AGE_005,M,74
2020-09-03,USR_001,AGE_006,F,16
2020-09-03,USR_001,AGE_006,M,21
2020-09-03,USR_001,AGE_007,F,1
2020-09-03,USR_001,AGE_007,M,2
2020-09-03,USR_001,AGE_008,,872
2020-09-03,USR_001,AGE_008,M,1
2020-09-04,USR_001,AGE_001,F,360
2020-09-04,USR_001,AGE_001,M,386
2020-09-04,USR_001,AGE_002,F,1232
2020-09-04,USR_001,AGE_002,M,1243
2020-09-04,USR_001,AGE_003,F,424
2020-09-04,USR_001,AGE_003,M,470
2020-09-04,USR_001,AGE_004,F,232
2020-09-04,USR_001,AGE_004,M,206
2020-09-04,USR_001,AGE_005,F,145
2020-09-04,USR_001,AGE_005,M,96
2020-09-04,USR_001,AGE_006,F,24
2020-09-04,USR_001,AGE_006,M,27
2020-09-04,USR_001,AGE_007,F,5
2020-09-04,USR_001,AGE_007,M,4
