가입일자,사용자코드,연령대코드,성별,가입 수
2021-01-01,USR_001,AGE_001,F,72
2021-01-01,USR_001,AGE_001,M,63
2021-01-01,USR_001,AGE_002,F,109
2021-01-01,USR_001,AGE_002,M,139
2021-01-01,USR_001,AGE_003,F,78
2021-01-01,USR_001,AGE_003,M,79
2021-01-01,USR_001,AGE_004,F,58
2021-01-01,USR_001,AGE_004,M,70
2021-01-01,USR_001,AGE_005,F,31
2021-01-01,USR_001,AGE_005,M,35
2021-01-01,USR_001,AGE_006,F,9
2021-01-01,USR_001,AGE_006,M,10
2021-01-01,USR_001,AGE_007,F,1
2021-01-01,USR_001,AGE_007,M,3
2021-01-01,USR_001,AGE_008,M,1
2021-01-02,USR_001,AGE_001,F,49
2021-01-02,USR_001,AGE_001,M,61
2021-01-02,USR_001,AGE_002,F,90
2021-01-02,USR_001,AGE_002,M,86
2021-01-02,USR_001,AGE_003,F,61
2021-01-02,USR_001,AGE_003,M,81
2021-01-02,USR_001,AGE_004,F,47
2021-01-02,USR_001,AGE_004,M,74
2021-01-02,USR_001,AGE_005,F,22
2021-01-02,USR_001,AGE_005,M,33
2021-01-02,USR_001,AGE_006,F,12
2021-01-02,USR_001,AGE_006,M,7
2021-01-02,USR_001,AGE_007,F,2
2021-01-02,USR_001,AGE_007,M,4
2021-01-03,USR_001,AGE_001,F,40
2021-01-03,USR_001,AGE_001,M,43
2021-01-03,USR_001,AGE_002,F,82
2021-01-03,USR_001,AGE_002,M,88
2021-01-03,USR_001,AGE_003,F,59
2021-01-03,USR_001,AGE_003,M,69
2021-01-03,USR_001,AGE_004,F,38
2021-01-03,USR_001,AGE_004,M,74
2021-01-03,USR_001,AGE_005,F,27
2021-01-03,USR_001,AGE_005,M,40
2021-01-03,USR_001,AGE_006,F,10
2021-01-03,USR_001,AGE_006,M,13
2021-01-03,USR_001,AGE_007,M,1
2021-01-04,USR_001,AGE_001,F,49
2021-01-04,USR_001,AGE_001,M,66
2021-01-04,USR_001,AGE_002,F,74
2021-01-04,USR_001,AGE_002,M,106
2021-01-04,USR_001,AGE_003,F,36
2021-01-04,USR_001,AGE_003,M,45
2021-01-04,USR_001,AGE_004,F,20
2021-01-04,USR_001,AGE_004,M,34
2021-01-04,USR_001,AGE_005,F,17
2021-01-04,USR_001,AGE_005,M,24
2021-01-04,USR_001,AGE_006,F,7
2021-01-04,USR_001,AGE_006,M,12
2021-01-04,USR_001,AGE_007,F,1
2021-01-04,USR_001,AGE_007,M,1
2021-01-04,USR_001,AGE_008,M,1
2021-01-05,USR_001,AGE_001,F,20
2021-01-05,USR_001,AGE_001,M,36
2021-01-05,USR_001,AGE_002,F,47
2021-01-05,USR_001,AGE_002,M,68
2021-01-05,USR_001,AGE_003,F,22
2021-01-05,USR_001,AGE_003,M,42
2021-01-05,USR_001,AGE_004,F,18
2021-01-05,USR_001,AGE_004,M,30
2021-01-05,USR_001,AGE_005,F,10
2021-01-05,USR_001,AGE_005,M,8
2021-01-05,USR_001,AGE_006,F,2
2021-01-05,USR_001,AGE_006,M,6
2021-01-05,USR_001,AGE_007,M,2
2021-01-05,USR_001,AGE_008,M,1
2021-01-06,USR_001,AGE_001,F,22
2021-01-06,USR_001,AGE_001,M,20
2021-01-06,USR_001,AGE_002,F,44
2021-01-06,USR_001,AGE_002,M,55
2021-01-06,USR_001,AGE_003,F,19
2021-01-06,USR_001,AGE_003,M,25
2021-01-06,USR_001,AGE_004,F,14
2021-01-06,USR_001,AGE_004,M,17
2021-01-06,USR_001,AGE_005,F,8
2021-01-06,USR_001,AGE_005,M,10
2021-01-06,USR_001,AGE_006,F,3
2021-01-06,USR_001,AGE_006,M,6
2021-01-06,USR_001,AGE_007,M,3
2021-01-07,USR_001,AGE_001,F,3
2021-01-07,USR_001,AGE_001,M,13
2021-01-07,USR_001,AGE_002,F,9
2021-01-07,USR_001,AGE_002,M,22
2021-01-07,USR_001,AGE_003,F,8
2021-01-07,USR_001,AGE_003,M,10
2021-01-07,USR_001,AGE_004,F,3
2021-01-07,USR_001,AGE_004,M,17
2021-01-07,USR_001,AGE_005,F,3
2021-01-07,USR_001,AGE_005,M,9
2021-01-07,USR_001,AGE_006,M,5
2021-01-07,USR_001,AGE_007,M,1
2021-01-08,USR_001,AGE_001,F,6
2021-01-08,USR_001,AGE_001,M,12
2021-01-08,USR_001,AGE_002,F,17
2021-01-08,USR_001,AGE_002,M,17
2021-01-08,USR_001,AGE_003,F,17
2021-01-08,USR_001,AGE_003,M,13
2021-01-08,USR_001,AGE_004,F,7
2021-01-08,USR_001,AGE_004,M,13
2021-01-08,USR_001,AGE_005,F,2
