가입일자,사용자코드,연령대코드,성별,가입 수
2020-11-01,USR_001,AGE_001,F,75
2020-11-01,USR_001,AGE_001,M,105
2020-11-01,USR_001,AGE_002,F,170
2020-11-01,USR_001,AGE_002,M,239
2020-11-01,USR_001,AGE_003,F,59
2020-11-01,USR_001,AGE_003,M,99
2020-11-01,USR_001,AGE_004,F,50
2020-11-01,USR_001,AGE_004,M,65
2020-11-01,USR_001,AGE_005,F,41
2020-11-01,USR_001,AGE_005,M,42
2020-11-01,USR_001,AGE_006,F,7
2020-11-01,USR_001,AGE_006,M,13
2020-11-01,USR_001,AGE_007,M,1
2020-11-01,USR_001,AGE_008,,2478
2020-11-01,USR_001,AGE_008,M,1
2020-11-02,USR_001,AGE_001,F,116
2020-11-02,USR_001,AGE_001,M,97
2020-11-02,USR_001,AGE_002,F,287
2020-11-02,USR_001,AGE_002,M,270
2020-11-02,USR_001,AGE_003,F,123
2020-11-02,USR_001,AGE_003,M,146
2020-11-02,USR_001,AGE_004,F,84
2020-11-02,USR_001,AGE_004,M,86
2020-11-02,USR_001,AGE_005,F,40
2020-11-02,USR_001,AGE_005,M,41
2020-11-02,USR_001,AGE_006,F,12
2020-11-02,USR_001,AGE_006,M,12
2020-11-02,USR_001,AGE_007,M,1
2020-11-02,USR_001,AGE_008,,2251
2020-11-02,USR_001,AGE_008,M,1
2020-11-03,USR_001,AGE_001,F,50
2020-11-03,USR_001,AGE_001,M,61
2020-11-03,USR_001,AGE_002,F,135
2020-11-03,USR_001,AGE_002,M,147
2020-11-03,USR_001,AGE_003,F,67
2020-11-03,USR_001,AGE_003,M,89
2020-11-03,USR_001,AGE_004,F,44
2020-11-03,USR_001,AGE_004,M,58
2020-11-03,USR_001,AGE_005,F,25
2020-11-03,USR_001,AGE_005,M,27
2020-11-03,USR_001,AGE_006,F,5
2020-11-03,USR_001,AGE_006,M,7
2020-11-03,USR_001,AGE_007,M,2
2020-11-03,USR_001,AGE_008,,1685
2020-11-04,USR_001,AGE_001,F,90
2020-11-04,USR_001,AGE_001,M,88
2020-11-04,USR_001,AGE_002,F,154
2020-11-04,USR_001,AGE_002,M,183
2020-11-04,USR_001,AGE_003,F,80
2020-11-04,USR_001,AGE_003,M,89
2020-11-04,USR_001,AGE_004,F,38
2020-11-04,USR_001,AGE_004,M,59
2020-11-04,USR_001,AGE_005,F,34
2020-11-04,USR_001,AGE_005,M,42
2020-11-04,USR_001,AGE_006,F,6
2020-11-04,USR_001,AGE_006,M,11
2020-11-04,USR_001,AGE_007,F,1
2020-11-04,USR_001,AGE_007,M,1
2020-11-04,USR_001,AGE_008,,1679
2020-11-04,USR_001,AGE_008,M,1
2020-11-05,USR_001,AGE_001,F,80
2020-11-05,USR_001,AGE_001,M,111
2020-11-05,USR_001,AGE_002,F,239
2020-11-05,USR_001,AGE_002,M,255
2020-11-05,USR_001,AGE_003,F,120
2020-11-05,USR_001,AGE_003,M,138
2020-11-05,USR_001,AGE_004,F,77
2020-11-05,USR_001,AGE_004,M,101
2020-11-05,USR_001,AGE_005,F,35
2020-11-05,USR_001,AGE_005,M,46
2020-11-05,USR_001,AGE_006,F,5
2020-11-05,USR_001,AGE_006,M,21
2020-11-05,USR_001,AGE_007,F,1
2020-11-05,USR_001,AGE_008,,1533
2020-11-05,USR_001,AGE_008,M,1
2020-11-06,USR_001,AGE_001,F,135
2020-11-06,USR_001,AGE_001,M,140
2020-11-06,USR_001,AGE_002,F,307
2020-11-06,USR_001,AGE_002,M,358
2020-11-06,USR_001,AGE_003,F,124
2020-11-06,USR_001,AGE_003,M,175
2020-11-06,USR_001,AGE_004,F,78
2020-11-06,USR_001,AGE_004,M,93
2020-11-06,USR_001,AGE_005,F,38
2020-11-06,USR_001,AGE_005,M,59
2020-11-06,USR_001,AGE_006,F,6
2020-11-06,USR_001,AGE_006,M,13
2020-11-06,USR_001,AGE_007,M,2
2020-11-06,USR_001,AGE_008,,1288
2020-11-07,USR_001,AGE_001,F,216
2020-11-07,USR_001,AGE_001,M,247
2020-11-07,USR_001,AGE_002,F,633
2020-11-07,USR_001,AGE_002,M,640
2020-11-07,USR_001,AGE_003,F,261
2020-11-07,USR_001,AGE_003,M,302
2020-11-07,USR_001,AGE_004,F,194
2020-11-07,USR_001,AGE_004,M,190
2020-11-07,USR_001,AGE_005,F,76
2020-11-07,USR_001,AGE_005,M,89
2020-11-07,USR_001,AGE_006,F,22
2020-11-07,USR_001,AGE_006,M,23
2020-11-07,USR_001,AGE_007,F,2
2020-11-07,USR_001,AGE_007,M,5
2020-11-07,USR_001,AGE_008,,902
2020-11-08,USR_001,AGE_001,F,156
2020-11-08,USR_001,AGE_001,M,165
2020-11-08,USR_001,AGE_002,F,331
2020-11-08,USR_001,AGE_002,M,385
2020-11-08,USR_001,AGE_003,F,186
2020-11-08,USR_001,AGE_003,M,236
2020-11-08,USR_001,AGE_004,F,181
2020-11-08,USR_001,AGE_004,M,170
2020-11-08,USR_001,AGE_005,F,88
2020-11-08,USR_001,AGE_005,M,67
2020-11-08,USR_001,AGE_006,F,13
2020-11-08,USR_001,AGE_006,M,18
2020-11-08,USR_001,AGE_007,F,2
2020-11-08,USR_001,AGE_007,M,2
2020-11-08,USR_001,AGE_008,,912
2020-11-08,USR_001,AGE_008,M,1
2020-11-09,USR_001,AGE_001,F,58
2020-11-09,USR_001,AGE_001,M,75
2020-11-09,USR_001,AGE_002,F,200
2020-11-09,USR_001,AGE_002,M,205
2020-11-09,USR_001,AGE_003,F,70
2020-11-09,USR_001,AGE_003,M,121
2020-11-09,USR_001,AGE_004,F,39
2020-11-09,USR_001,AGE_004,M,62
2020-11-09,USR_001,AGE_005,F,27
2020-11-09,USR_001,AGE_005,M,51
2020-11-09,USR_001,AGE_006,F,6
2020-11-09,USR_001,AGE_006,M,22
2020-11-09,USR_001,AGE_007,M,1
2020-11-09,USR_001,AGE_008,,896
2020-11-10,USR_001,AGE_001,F,65
2020-11-10,USR_001,AGE_001,M,72
2020-11-10,USR_001,AGE_002,F,189
2020-11-10,USR_001,AGE_002,M,251
2020-11-10,USR_001,AGE_003,F,87
2020-11-10,USR_001,AGE_003,M,102
