'대여일자','대여소번호','대여소','대여건수','반납건수'
'201701','108',' 서교동 사거리',3,0
'201701','511',' 서울숲역 4번 출구 옆',2,2
'201701','109',' 제일빌딩 앞',2,2
'201701','514',' 성수사거리 버스정류장 앞',0,1
'201701','301',' 경복궁역 7번출구 앞',2,0
'201701','302',' 경복궁역 4번출구 뒤',0,2
'201701','303',' 광화문역 1번출구 앞',1,3
'201701','115',' 사루비아 빌딩 앞',1,1
'201701','304',' 광화문역 2번출구 앞',4,2
'201701','305',' 종로구청 옆',3,0
'201701','306',' 광화문역 7번출구 앞',0,1
'201701','309',' 광화문역 6번출구 옆',3,2
'201701','310',' 청계광장 옆',0,1
'201701','311',' 서울광장 옆',2,2
'201701','312',' 시청역 1번출구 뒤',5,5
'201701','313',' 서울역 광장 파출소 옆',1,1
'201701','314',' 국립현대미술관',1,8
'201701','315',' 신한은행 안국역지점 옆',2,1
'201701','316',' 종각역 1번출구 앞',2,5
'201701','318',' 광교사거리 남측',1,1
'201701','320',' 을지로입구역 4번출구 앞',5,6
'201701','321',' KEB 하나은행 본점 앞',2,5
'201701','322',' 명동성당 앞',9,9
'201701','324',' 신세계백화점 본점 앞',7,9
'201701','326',' 안국역 5번출구 앞',4,5
'201701','327',' 낙원상가 옆',7,8
'201701','328',' 탑골공원 앞',4,4
'201701','329',' 청계2가 사거리 옆',1,2
'201701','330',' 청계천 한빛광장',1,0
'201701','331',' 을지로2가 사거리 북측',2,6
'201701','111',' 상수역 2번출구 앞',1,3
'201701','334',' 종로3가역 2번출구 뒤',12,7
'201701','335',' 종로3가역 15번출구 앞',1,5
'201701','337',' 창경궁 입구',1,0
'201701','338',' 세운스퀘어 앞',4,4
'201701','339',' 종로4가 사거리',1,1
'201701','341',' 혜화역 3번출구 뒤',1,3
'201701','342',' 대학로 마로니에공원',0,2
'201701','112',' 극동방송국 앞',2,2
'201701','346',' 맥스타일 앞',8,5
'201701','347',' 동대문역사문화공원역 9번출구 앞',6,3
'201701','349',' 사직동주민센터',1,1
'201701','350','KEB 하나은행(내자동 지점) 앞',4,5
'201701','352',' 중앙고입구 삼거리',9,1
'201701','353',' 재동초교 앞 삼거리',1,1
'201701','354',' 포르투갈 대사관 앞',2,0
'201701','355',' 서울사대부속초교 앞',3,2
'201701','358',' 성대입구 사거리',2,0
'201701','361',' 동묘앞역 1번출구 뒤',1,1
'201701','113',' 홍대입구역 2번출구 앞',2,2
'201701','369',' 광화문 시민열린마당',5,7
'201701','370',' 시청역(2호선) 9번출구 뒤',5,0
'201701','371',' 동대입구역 6번출구 뒤',0,1
'201701','377',' 서울역 4번출구 앞',1,1
'201701','379',' 서울역9번출구',1,1
'201701','380',' CJ제일제당 앞',3,1
'201701','381',' 장충체육관',1,0
'201701','114',' 홍대입구역 8번출구 앞',2,5
'201701','143',' 공덕역 2번출구',1,0
'201701','144',' 공덕역 8번출구',1,1
'201701','146',' 마포역 1번출구 뒤',2,3
'201701','152',' 마포구민체육센터 앞',2,2
'201701','159',' 이대역 4번 출구',5,1
'201701','160',' 북아현동 가구거리',1,1
'201701','518',' 청계천 박물관 앞',1,1
'201701','122',' 신성기사식당 앞',2,0
'201701','548',' 자양나들목',2,2
'201701','125',' 서강대 남문 옆',1,0
'201701','614',' 용두동 사거리',1,1
'201701','227',' 양평2나들목 보행통로 입구',1,1
'201701','232',' 양평우림 이비즈센타 앞',1,0
'201701','239',' 유스호스텔 앞',0,2
'201701','127',' 현대벤처빌 앞',1,0
'201701','128',' 신촌역(2호선) 1번출구 옆',2,4
'201701','258',' 신길역3번출구',0,1
'201701','129',' 신촌역(2호선) 6번출구 옆',0,2
'201701','130',' 신촌역(2호선) 7번출구 앞',3,1
'201701','802',' 한강진역 2번 출구 앞',6,6
'201701','805',' 문배어린이공원 앞',1,2
'201701','807',' 서울역 12번 출구 앞',1,0
'201701','811',' 녹사평역1번출구',0,4
'201701','812',' 용산전쟁기념관',2,0
'201701','813',' 삼각지역 3번출구',2,2
'201701','385',' 종각역 5번출구',2,0
'201701','387',' 훈련원공원주차장 앞',2,4
'201701','132',' 창천문화공원',0,1
'201701','185',' 마포 신수공원 앞',2,4
'201701','198',' 충정2교',1,1
'201701','561',' 서울숲역 2번출구 앞',0,2
'201701','565',' 옥수역 3번출구',5,3
'201701','567',' 성수역 2번출구 앞',0,1
'201701','135',' 명물길 원형무대 앞',1,0
'201701','579',' 마장역 4번출구',0,1
'201701','583',' 청계천 생태교실 앞',2,1
'201701','576',' 광나루역 3번 출구',0,2
'201701','137',' NH농협 신촌지점 앞',7,5
'201701','623',' 서울시립대 정문 앞',1,0
'201701','639',' 서울시립대 후문',0,1
'201701','641',' 용두역 4번출구',0,1
'201701','140',' 이화여대 후문',3,2
'201701','260',' 여의도 마리나선착장 앞',1,1
'201701','816',' 신용산역 6번출구 앞',2,1
'201701','817',' 삼각지역 4번출구 앞',1,0
'201701','819',' 선린인터넷 고등학교',0,1
'201701','822',' 이촌1동 마을공원',0,2
'201701','825',' 서빙고동 주민센터 앞',1,1
'201701','199',' 서울 월드컵 경기장',3,2
'201701','201',' 진미파라곤 앞',2,0
'201701','587',' KEB하나은행 성수중앙지점',0,2
'201701','103',' 망원역 2번출구 앞',1,1
'201701','204',' 국회의사당역 5번출구 옆',2,2
'201701','206',' KBS 앞',0,2
'201701','211',' 여의도역 4번출구 옆',6,4
'201701','212',' 여의도역 1번출구 옆',2,0
'201701','104',' 합정역 1번출구 앞',1,0
'201701','215',' 여의도고교 앞',0,2
'201701','216',' 삼부아파트1동 앞',1,1
'201701','221',' 여의도초교 앞',6,4
'201701','222',' 시범아파트버스정류장 옆',0,1
'201701','105',' 합정역 5번출구 앞',3,1
'201701','207',' 여의나루역 1번출구 앞',15,15
'201701','413',' 상암월드컵파크 3단지 후문',2,2
'201701','501',' 광진구의회 앞',0,1
'201701','502',' 뚝섬유원지역 1번출구 앞',1,0
'201702','509',' 이마트 버스정류소 옆',1,1
'201702','510',' 서울숲 남문 버스정류소 옆',2,2
'201702','511',' 서울숲역 4번 출구 옆',2,2
'201702','109',' 제일빌딩 앞',1,0
'201702','400',' 상암한화오벨리스크 1차 앞',1,1
'201702','300',' 정동사거리',3,1
'201702','307',' 서울역사박물관 앞',2,2
'201702','308',' 광화문 S타워 앞',1,2
'201702','309',' 광화문역 6번출구 옆',2,0
'201702','310',' 청계광장 옆',7,8
'201702','311',' 서울광장 옆',4,4
'201702','312',' 시청역 1번출구 뒤',4,2
'201702','110',' 사천교',1,1
'201702','315',' 신한은행 안국역지점 옆',3,0
'201702','316',' 종각역 1번출구 앞',2,4
'201702','318',' 광교사거리 남측',2,0
'201702','320',' 을지로입구역 4번출구 앞',2,0
'201702','321',' KEB 하나은행 본점 앞',6,2
'201702','322',' 명동성당 앞',2,1
'201702','116',' 일진아이윌아파트 옆',3,3
'201702','324',' 신세계백화점 본점 앞',6,13
'201702','326',' 안국역 5번출구 앞',2,1
'201702','328',' 탑골공원 앞',3,1
'201702','332',' 을지로2가 사거리 남측',1,0
'201702','334',' 종로3가역 2번출구 뒤',9,9
'201702','335',' 종로3가역 15번출구 앞',2,0
'201702','336',' 티마크 호텔 앞',5,9
'201702','338',' 세운스퀘어 앞',0,2
'201702','339',' 종로4가 사거리',6,10
'201702','112',' 극동방송국 앞',2,1
'201702','346',' 맥스타일 앞',1,3
'201702','347',' 동대문역사문화공원역 9번출구 앞',5,2
'201702','352',' 중앙고입구 삼거리',4,2
'201702','353',' 재동초교 앞 삼거리',0,4
'201702','355',' 서울사대부속초교 앞',2,2
'201702','358',' 성대입구 사거리',0,1
'201702','113',' 홍대입구역 2번출구 앞',4,5
'201702','368',' SK 서린빌딩 앞',1,1
'201702','377',' 서울역 4번출구 앞',2,2
'201702','378',' 청계7가 사거리',3,2
'201702','114',' 홍대입구역 8번출구 앞',4,3
'201702','144',' 공덕역 8번출구',4,3
'201702','146',' 마포역 1번출구 뒤',4,4
'201702','152',' 마포구민체육센터 앞',1,1
'201702','170',' 가재울 뉴타운 주유소 옆',0,1
'201702','171',' 임광빌딩 앞',1,0
'201702','175',' 홍연2교옆',2,1
'201702','229',' 양평1 보행육교 앞',1,1
'201702','240',' 문래역 4번출구 앞',0,1
'201702','249',' 여의도중학교 옆',1,0
'201702','128',' 신촌역(2호선) 1번출구 옆',3,2
'201702','129',' 신촌역(2호선) 6번출구 옆',0,1
'201702','130',' 신촌역(2호선) 7번출구 앞',1,0
'201702','803',' 한남초교 앞 보도육교',0,2
'201702','805',' 문배어린이공원 앞',1,1
'201702','807',' 서울역 12번 출구 앞',2,4
'201702','808',' 서빙고동 금호맨션 앞',0,2
'201702','812',' 용산전쟁기념관',11,10
'201702','815',' LIG강촌아파트 103동앞',1,0
'201702','385',' 종각역 5번출구',0,1
'201702','386',' 올림픽기념 국민생활관 앞',1,1
'201702','387',' 훈련원공원주차장 앞',3,1
'201702','132',' 창천문화공원',2,2
'201702','186',' 월드컵공원',2,3
'201702','557',' 도선동 주민센터 앞',0,1
'201702','134',' 연세로 명물길',7,8
'201702','561',' 서울숲역 2번출구 앞',0,1
'201702','581',' 용답초등학교',1,0
'201702','576',' 광나루역 3번 출구',1,0
'201702','230',' 영등포구청역 1번출구',1,1
'201702','268',' 그랜드컨벤션센터 앞',1,1
'201702','816',' 신용산역 6번출구 앞',1,0
'201702','820',' 청파동입구 교차로',0,2
'201702','822',' 이촌1동 마을공원',2,4
'201702','201',' 진미파라곤 앞',1,1
'201702','205',' 산업은행 앞',8,5
'201702','206',' KBS 앞',1,0
'201702','211',' 여의도역 4번출구 옆',3,4
'201702','212',' 여의도역 1번출구 옆',3,2
'201702','217',' NH농협은행 앞',0,4
'201702','223',' 진주아파트상가 앞',1,1
'201702','105',' 합정역 5번출구 앞',1,0
'201702','225',' 앙카라공원 앞',1,1
'201702','207',' 여의나루역 1번출구 앞',2,3
'201702','403',' 부엉이공원 앞',2,0
'201702','106',' 합정역 7번출구 앞',1,0
'201702','405',' DMC빌 앞',2,2
'201702','420',' 서울시 공공자전거 상암센터',1,0
'201702','419',' 홈플러스 앞',1,2
'201702','418',' 월드컵경기장역 3번출구 옆',2,2
'201702','107',' 신한은행 서교동금융센터점 앞',1,0
'201702','411',' DMC홍보관',0,2
'201702','502',' 뚝섬유원지역 1번출구 앞',0,1
'201703',,,0,6
'201703','108',' 서교동 사거리',2,0
'201703','511',' 서울숲역 4번 출구 옆',2,0
'201703','109',' 제일빌딩 앞',3,4
'201703','400',' 상암한화오벨리스크 1차 앞',5,5
'201703','300',' 정동사거리',2,1
'201703','302',' 경복궁역 4번출구 뒤',7,4
'201703','303',' 광화문역 1번출구 앞',4,1
'201703','115',' 사루비아 빌딩 앞',7,11
'201703','304',' 광화문역 2번출구 앞',2,4
'201703','305',' 종로구청 옆',1,2
'201703','306',' 광화문역 7번출구 앞',7,7
'201703','307',' 서울역사박물관 앞',3,3
'201703','309',' 광화문역 6번출구 옆',3,3
'201703','310',' 청계광장 옆',1,7
'201703','311',' 서울광장 옆',2,4
'201703','312',' 시청역 1번출구 뒤',8,12
'201703','313',' 서울역 광장 파출소 옆',2,1
'201703','110',' 사천교',3,1
'201703','314',' 국립현대미술관',9,3
'201703','315',' 신한은행 안국역지점 옆',2,5
'201703','316',' 종각역 1번출구 앞',2,1
'201703','318',' 광교사거리 남측',11,6
'201703','320',' 을지로입구역 4번출구 앞',3,5
'201703','321',' KEB 하나은행 본점 앞',15,14
'201703','322',' 명동성당 앞',15,6
'201703','116',' 일진아이윌아파트 옆',0,2
'201703','324',' 신세계백화점 본점 앞',21,25
'201703','326',' 안국역 5번출구 앞',8,7
'201703','327',' 낙원상가 옆',6,8
'201703','328',' 탑골공원 앞',3,4
'201703','329',' 청계2가 사거리 옆',3,3
'201703','331',' 을지로2가 사거리 북측',5,0
'201703','332',' 을지로2가 사거리 남측',0,1
'201703','111',' 상수역 2번출구 앞',3,5
'201703','334',' 종로3가역 2번출구 뒤',5,9
'201703','335',' 종로3가역 15번출구 앞',3,3
'201703','336',' 티마크 호텔 앞',4,5
'201703','337',' 창경궁 입구',2,3
'201703','338',' 세운스퀘어 앞',4,3
'201703','339',' 종로4가 사거리',6,4
'201703','341',' 혜화역 3번출구 뒤',5,1
'201703','342',' 대학로 마로니에공원',1,2
'201703','343',' 예일빌딩(율곡로) 앞',1,0
'201703','112',' 극동방송국 앞',3,1
'201703','346',' 맥스타일 앞',31,29
'201703','347',' 동대문역사문화공원역 9번출구 앞',21,15
'201703','350','KEB 하나은행(내자동 지점) 앞',1,0
'201703','351',' 청운초교 앞 삼거리',0,2
'201703','352',' 중앙고입구 삼거리',1,6
'201703','353',' 재동초교 앞 삼거리',9,5
'201703','117',' 홍은사거리',1,2
'201703','354',' 포르투갈 대사관 앞',5,7
'201703','355',' 서울사대부속초교 앞',0,1
'201703','358',' 성대입구 사거리',1,0
'201703','359',' 원남동사거리',7,7
'201703','361',' 동묘앞역 1번출구 뒤',4,1
'201703','362',' 청계8가 사거리',3,8
'201703','363',' 신설동역 11번출구 뒤',1,1
'201703','113',' 홍대입구역 2번출구 앞',11,9
'201703','369',' 광화문 시민열린마당',5,2
'201703','370',' 시청역(2호선) 9번출구 뒤',3,3
'201703','377',' 서울역 4번출구 앞',4,8
'201703','378',' 청계7가 사거리',5,4
'201703','379',' 서울역9번출구',4,3
'201703','380',' CJ제일제당 앞',6,7
'201703','382',' 약수역 10번출구 앞',1,1
'201703','114',' 홍대입구역 8번출구 앞',5,13
'201703','143',' 공덕역 2번출구',1,1
'201703','144',' 공덕역 8번출구',1,2
'201703','146',' 마포역 1번출구 뒤',2,3
'201703','150',' 서강대역 2번출구 앞',4,2
'201703','158',' 독립문 어린이 공원',1,0
'201703','159',' 이대역 4번 출구',2,1
'201703','162',' 봉원고가차도 밑',0,1
'201703','171',' 임광빌딩 앞',6,5
'201703','121',' 마포소방서 앞',1,0
'201703','173',' 서대문역 8번출구 앞',1,0
'201703','175',' 홍연2교옆',2,0
'201703','179',' 가좌역 4번출구 앞',0,2
'201703','180',' 충정로역 7번출구 뒤',5,4
'201703','519',' 양지사거리',2,2
'201703','520',' 상왕십리역 4번 출구 앞',2,2
'201703','122',' 신성기사식당 앞',4,4
'201703','525',' 한양대병원사거리',1,7
'201703','526',' 용답토속공원 앞',2,0
'201703','529',' 장한평역 8번 출구 앞',9,9
'201703','537',' 한양대후문역 부근',1,1
'201703','123',' 문화촌 공원',1,1
'201703','538',' 답십리역 8번출구 앞',1,2
'201703','539',' 군자교교차로',1,1
'201703','542',' 강변역 4번출구 뒤',0,2
'201703','543',' 구의공원(테크노마트 앞)',4,0
'201703','544',' 광남중학교',2,2
'201703','124',' 서강대 정문 건너편',5,5
'201703','609',' 제기2교',2,2
'201703','125',' 서강대 남문 옆',24,31
'201703','613',' 신설동역 10번출구 앞',1,0
'201703','614',' 용두동 사거리',1,1
'201703','227',' 양평2나들목 보행통로 입구',0,1
'201703','126',' 서강대 후문 옆',3,3
'201703','247',' 당산역 10번출구 앞',4,0
'201703','248',' 초원아파트 앞',2,5
'201703','249',' 여의도중학교 옆',0,1
'201703','128',' 신촌역(2호선) 1번출구 옆',2,9
'201703','700',' KB국민은행 염창역 지점 앞',1,0
'201703','129',' 신촌역(2호선) 6번출구 옆',3,4
'201703','702',' 목4동주민센터 옆',0,1
'201703','703',' 오목교역 7번출구 앞',1,0
'201703','708',' 서울출입국관리사무소 앞',2,2
'201703','130',' 신촌역(2호선) 7번출구 앞',7,7
'201703','800',' 목월공원 앞',0,5
'201703','805',' 문배어린이공원 앞',2,2
